函式庫,變數名稱,預設值
Tailwind CSS, --tw-prose-invert-td-borders,oklch(37.3% .034 259.733)
Tailwind CSS, --scrollbar-thumb,#3e3e41
Tailwind CSS, --wedding-burgundy,#5c1930
Tailwind CSS, --wedding-rose,#b76e79
Tailwind CSS, --wedding-gold,#c9a962
Tailwind CSS, --wedding-cream,#faf7f2
Tailwind CSS, --wedding-blush,#f5e6e8
Tailwind CSS, --wedding-deep,#2d0f1a
animate.css, --animate-duration,1s
animate.css, --animate-delay,1s
animate.css, --animate-repeat,1
markdown-body, --base-size-4,0.25rem
markdown-body, --base-size-8,0.5rem
markdown-body, --base-size-16,1rem
markdown-body, --base-size-24,1.5rem
markdown-body, --base-size-40,2.5rem
markdown-body, --base-text-weight-normal,400
markdown-body, --base-text-weight-medium,500
markdown-body, --base-text-weight-semibold,600
markdown-body, --fontStack-monospace,"ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,Liberation Mono,monospace"
Swiper, --swiper-theme-color,#007aff
Swiper, --swiper-preloader-color,#fff
Swiper, --swiper-navigation-size,44px
