來源,變數名稱,值
10128161fe71f379.css, --color-foreground,#fff
10128161fe71f379.css, --color-accent,var(--color-dgray-800)
10128161fe71f379.css, --color-weak-accent,var(--color-dgray-900)
10128161fe71f379.css, --color-background-400,#404040
10128161fe71f379.css, --color-background-500,#333
10128161fe71f379.css, --color-background-700,#262727
10128161fe71f379.css, --color-background-900,#1a1b1b
10128161fe71f379.css, --color-background,#1a1b1b
10128161fe71f379.css, --color-textarea-outline,var(--color-dgray-700)
10128161fe71f379.css, --color-textarea-outline-focus,var(--color-foreground)
10128161fe71f379.css, --color-duck-pink1,#e72563
10128161fe71f379.css, --color-duck-pink2,#bc1e51
10128161fe71f379.css, --color-duck-pink5,#3c0a1a
10128161fe71f379.css, --color-duck-yellow,#ffb400
10128161fe71f379.css, --color-duck-orange,#ff9500
10128161fe71f379.css, --color-duck-blue,#007aff
10128161fe71f379.css, --color-dgray-white,#fff
10128161fe71f379.css, --color-dgray-50,#f7f9fa
10128161fe71f379.css, --color-dgray-100,#f1f4f6
10128161fe71f379.css, --color-dgray-200,#e5e7eb
10128161fe71f379.css, --color-dgray-300,#d1d5db
10128161fe71f379.css, --color-dgray-400,#9ca3af
10128161fe71f379.css, --color-dgray-500,#858d9b
10128161fe71f379.css, --color-dgray-600,#737883
10128161fe71f379.css, --color-dgray-700,#595b63
10128161fe71f379.css, --color-dgray-800,#3e3e41
10128161fe71f379.css, --color-dgray-900,#2d2d2d
10128161fe71f379.css, --color-dgray-black,#000
10128161fe71f379.css, --color-creator,#2992c2
10128161fe71f379.css, --color-official-creator,#b88e9e
10128161fe71f379.css, --color-asker-name,#b4d273
10128161fe71f379.css, --color-char-name,#e5b567
10128161fe71f379.css, --color-char-message,var(--color-yellow-400)
10128161fe71f379.css, --color-user-message,var(--color-blue-300)
10128161fe71f379.css, --color-desc-message,var(--color-dgray-300)
10128161fe71f379.css, --color-memory-bracket,#fd899d
10128161fe71f379.css, --color-background-markdown,#373737
10128161fe71f379.css, --focus-outlineColor,#1f6feb
10128161fe71f379.css, --fgColor-default,#f0f6fc
10128161fe71f379.css, --fgColor-muted,#9198a1
10128161fe71f379.css, --fgColor-accent,#4493f8
10128161fe71f379.css, --fgColor-success,#3fb950
10128161fe71f379.css, --fgColor-attention,#d29922
10128161fe71f379.css, --fgColor-danger,#f85149
10128161fe71f379.css, --fgColor-done,#ab7df8
10128161fe71f379.css, --bgColor-default,#0d1117
10128161fe71f379.css, --bgColor-muted,#151b23
10128161fe71f379.css, --bgColor-neutral-muted,#7d7d7d33
10128161fe71f379.css, --bgColor-attention-muted,#bb800926
10128161fe71f379.css, --borderColor-default,#3d444d
10128161fe71f379.css, --borderColor-muted,#3d444db3
10128161fe71f379.css, --borderColor-neutral-muted,#3d444db3
10128161fe71f379.css, --borderColor-accent-emphasis,#1f6feb
10128161fe71f379.css, --borderColor-success-emphasis,#238636
10128161fe71f379.css, --borderColor-attention-emphasis,#9e6a03
10128161fe71f379.css, --borderColor-danger-emphasis,#da3633
10128161fe71f379.css, --borderColor-done-emphasis,#8957e5
10128161fe71f379.css, --color-prettylights-syntax-comment,#9198a1
10128161fe71f379.css, --color-prettylights-syntax-constant,#79c0ff
10128161fe71f379.css, --color-prettylights-syntax-constant-other-reference-link,#a5d6ff
10128161fe71f379.css, --color-prettylights-syntax-entity,#d2a8ff
10128161fe71f379.css, --color-prettylights-syntax-storage-modifier-import,#f0f6fc
10128161fe71f379.css, --color-prettylights-syntax-entity-tag,#7ee787
10128161fe71f379.css, --color-prettylights-syntax-keyword,#ff7b72
10128161fe71f379.css, --color-prettylights-syntax-string,#a5d6ff
10128161fe71f379.css, --color-prettylights-syntax-variable,#ffa657
10128161fe71f379.css, --color-prettylights-syntax-brackethighlighter-unmatched,#f85149
10128161fe71f379.css, --color-prettylights-syntax-brackethighlighter-angle,#9198a1
10128161fe71f379.css, --color-prettylights-syntax-invalid-illegal-text,#f0f6fc
10128161fe71f379.css, --color-prettylights-syntax-invalid-illegal-bg,#8e1519
10128161fe71f379.css, --color-prettylights-syntax-carriage-return-text,#f0f6fc
10128161fe71f379.css, --color-prettylights-syntax-carriage-return-bg,#b62324
10128161fe71f379.css, --color-prettylights-syntax-string-regexp,#7ee787
10128161fe71f379.css, --color-prettylights-syntax-markup-list,#f2cc60
10128161fe71f379.css, --color-prettylights-syntax-markup-heading,#1f6feb
10128161fe71f379.css, --color-prettylights-syntax-markup-italic,#f0f6fc
10128161fe71f379.css, --color-prettylights-syntax-markup-bold,#f0f6fc
10128161fe71f379.css, --color-prettylights-syntax-markup-deleted-text,#ffdcd7
10128161fe71f379.css, --color-prettylights-syntax-markup-deleted-bg,#67060c
10128161fe71f379.css, --color-prettylights-syntax-markup-inserted-text,#aff5b4
10128161fe71f379.css, --color-prettylights-syntax-markup-inserted-bg,#033a16
10128161fe71f379.css, --color-prettylights-syntax-markup-changed-text,#ffdfb6
10128161fe71f379.css, --color-prettylights-syntax-markup-changed-bg,#5a1e02
10128161fe71f379.css, --color-prettylights-syntax-markup-ignored-text,#f0f6fc
10128161fe71f379.css, --color-prettylights-syntax-markup-ignored-bg,#1158c7
10128161fe71f379.css, --color-prettylights-syntax-meta-diff-range,#d2a8ff
10128161fe71f379.css, --color-prettylights-syntax-sublimelinter-gutter-mark,#3d444d
10128161fe71f379.css, --color-memory-quote,#8b5e00
10128161fe71f379.css, --tw-prose-body,oklch(37.3% .034 259.733)
10128161fe71f379.css, --tw-prose-headings,oklch(21% .034 264.665)
10128161fe71f379.css, --tw-prose-lead,oklch(44.6% .03 256.802)
10128161fe71f379.css, --tw-prose-links,oklch(21% .034 264.665)
10128161fe71f379.css, --tw-prose-bold,oklch(21% .034 264.665)
10128161fe71f379.css, --tw-prose-counters,oklch(55.1% .027 264.364)
10128161fe71f379.css, --tw-prose-bullets,oklch(87.2% .01 258.338)
10128161fe71f379.css, --tw-prose-hr,oklch(92.8% .006 264.531)
10128161fe71f379.css, --tw-prose-quotes,oklch(21% .034 264.665)
10128161fe71f379.css, --tw-prose-quote-borders,oklch(92.8% .006 264.531)
10128161fe71f379.css, --tw-prose-captions,oklch(55.1% .027 264.364)
10128161fe71f379.css, --tw-prose-kbd,oklch(21% .034 264.665)
10128161fe71f379.css, --tw-prose-kbd-shadows,oklab(21% -.00316127 -.0338527/.1)
10128161fe71f379.css, --tw-prose-code,oklch(21% .034 264.665)
10128161fe71f379.css, --tw-prose-pre-code,oklch(92.8% .006 264.531)
